id,英文名稱,課程名稱,週次,該週開始日期,該週結束日期,註冊人數,購買人數,完課人數
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week39,2017-04-05,2017-04-11,207,1,0
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week40,2017-04-12,2017-04-18,154,1,3
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week41,2017-04-19,2017-04-25,106,0,0
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week42,2017-04-26,2017-05-02,147,1,4
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week43,2017-05-03,2017-05-09,133,0,2
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week44,2017-05-10,2017-05-16,147,2,2
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week45,2017-05-17,2017-05-23,140,3,2
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week46,2017-05-24,2017-05-30,185,4,5
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week47,2017-05-31,2017-06-06,164,0,1
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week48,2017-06-07,2017-06-13,163,2,1
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week49,2017-06-14,2017-06-20,187,3,4
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week50,2017-06-21,2017-06-27,180,4,7
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week51,2017-06-28,2017-07-04,449,3,3
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week52,2017-07-05,2017-07-11,191,1,3
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week53,2017-07-12,2017-07-18,162,0,1
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week54,2017-07-19,2017-07-25,153,1,0
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week55,2017-07-26,2017-08-01,192,2,2
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week56,2017-08-02,2017-08-08,138,2,2
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week57,2017-08-09,2017-08-15,160,0,1
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week58,2017-08-16,2017-08-22,133,1,1
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week59,2017-08-23,2017-08-29,121,0,1
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week60,2017-08-30,2017-09-05,153,0,0
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week61,2017-09-06,2017-09-12,169,1,1
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week62,2017-09-13,2017-09-19,124,2,2
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week63,2017-09-20,2017-09-26,118,0,0
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week64,2017-09-27,2017-10-03,111,0,0
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week65,2017-10-04,2017-10-10,111,2,2
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week66,2017-10-11,2017-10-17,136,0,1
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week67,2017-10-18,2017-10-24,112,0,0
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week68,2017-10-25,2017-10-31,153,0,0
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week69,2017-11-01,2017-11-07,144,1,0
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week70,2017-11-08,2017-11-14,132,1,0
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week71,2017-11-15,2017-11-21,130,1,0
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week72,2017-11-22,2017-11-28,114,0,0
4,rengong-zhineng,人工智慧(Artificial Intelligence),Week73,2017-11-29,2017-12-05,41,1,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week1,2016-09-18,2016-09-24,9,4,1
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week2,2016-09-25,2016-10-01,2,2,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week3,2016-10-02,2016-10-08,16,1,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week4,2016-10-09,2016-10-15,19,0,1
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week5,2016-10-16,2016-10-22,8,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week6,2016-10-23,2016-10-29,10,1,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week7,2016-10-30,2016-11-05,16,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week8,2016-11-06,2016-11-12,8,1,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week9,2016-11-13,2016-11-19,8,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week10,2016-11-20,2016-11-26,10,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week11,2016-11-27,2016-12-03,10,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week12,2016-12-04,2016-12-10,8,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week13,2016-12-11,2016-12-17,12,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week14,2016-12-18,2016-12-24,12,1,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week15,2016-12-25,2016-12-31,6,1,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week16,2017-01-01,2017-01-07,6,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week17,2017-01-08,2017-01-14,2,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week18,2017-01-15,2017-01-21,8,1,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week19,2017-01-22,2017-01-28,2,2,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week20,2017-01-29,2017-02-04,7,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week21,2017-02-05,2017-02-11,7,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week22,2017-02-12,2017-02-18,3,1,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week23,2017-02-19,2017-02-25,4,1,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week24,2017-02-26,2017-03-04,7,1,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week25,2017-03-05,2017-03-11,1,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week26,2017-03-12,2017-03-18,2,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week27,2017-03-19,2017-03-25,1,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week28,2017-03-26,2017-04-01,2,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week29,2017-04-02,2017-04-08,9,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week30,2017-04-09,2017-04-15,4,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week31,2017-04-16,2017-04-22,6,1,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week32,2017-04-23,2017-04-29,4,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week33,2017-04-30,2017-05-06,3,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week34,2017-05-07,2017-05-13,3,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week35,2017-05-14,2017-05-20,5,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week36,2017-05-21,2017-05-27,5,4,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week37,2017-05-28,2017-06-03,1,1,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week38,2017-06-04,2017-06-10,2,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week39,2017-06-11,2017-06-17,1,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week40,2017-06-18,2017-06-24,4,2,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week41,2017-06-25,2017-07-01,2,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week42,2017-07-02,2017-07-08,4,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week43,2017-07-09,2017-07-15,4,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week44,2017-07-16,2017-07-22,4,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week45,2017-07-23,2017-07-29,3,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week46,2017-07-30,2017-08-05,3,0,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week47,2017-08-06,2017-08-12,10,1,0
5,cad-bim-shiwu,CAD/BIM實務總整專題：畢業課程,Week48,2017-08-13,2017-08-19,6,1,0
