id,英文名稱,課程名稱,作業名稱,作業類型,繳交人數,通過人數,通過率
8,ji-chu-guang-xue,基礎光學 I,同伴互評,phased peer,317,152,0.48
8,ji-chu-guang-xue,基礎光學 I,光與物質的交互作用,exam,522,198,0.38
8,ji-chu-guang-xue,基礎光學 I,同伴互評,phased peer,206,113,0.55
8,ji-chu-guang-xue,基礎光學 I,幾何光學,exam,322,62,0.19
8,ji-chu-guang-xue,基礎光學 I,眼睛的光學,exam,234,40,0.17
8,ji-chu-guang-xue,基礎光學 I,其他成像系統,exam,177,62,0.35
8,ji-chu-guang-xue,基礎光學 I,同伴互評,phased peer,76,36,0.47
8,ji-chu-guang-xue,基礎光學 I,光學像差,exam,144,51,0.35
8,ji-chu-guang-xue,基礎光學 I,同伴互評,phased peer,72,35,0.49
8,ji-chu-guang-xue,基礎光學 I,期末考,exam,300,55,0.18
9,shiyan-jingji-xue,實驗經濟學 (Experimental Economics I: Behavioral Game Theory),最後通牒談判實驗,exam,580,316,0.54
9,shiyan-jingji-xue,實驗經濟學 (Experimental Economics I: Behavioral Game Theory),選美結果預測賽局,exam,460,273,0.59
9,shiyan-jingji-xue,實驗經濟學 (Experimental Economics I: Behavioral Game Theory),囚犯的兩難與自願捐輸賽局,exam,195,125,0.64
9,shiyan-jingji-xue,實驗經濟學 (Experimental Economics I: Behavioral Game Theory),信任賽局實驗,exam,117,81,0.69
9,shiyan-jingji-xue,實驗經濟學 (Experimental Economics I: Behavioral Game Theory),獨裁分配賽局實驗,exam,148,94,0.64
9,shiyan-jingji-xue,實驗經濟學 (Experimental Economics I: Behavioral Game Theory),Joker Game,exam,97,73,0.75
9,shiyan-jingji-xue,實驗經濟學 (Experimental Economics I: Behavioral Game Theory),Matching Pennies Game,exam,98,77,0.79
9,shiyan-jingji-xue,實驗經濟學 (Experimental Economics I: Behavioral Game Theory),三種選擇的黑白猜賽局,exam,94,69,0.73
9,shiyan-jingji-xue,實驗經濟學 (Experimental Economics I: Behavioral Game Theory),不同的黑白猜賽局,exam,86,66,0.77
9,shiyan-jingji-xue,實驗經濟學 (Experimental Economics I: Behavioral Game Theory),剪刀石頭布實驗,exam,111,76,0.68
9,shiyan-jingji-xue,實驗經濟學 (Experimental Economics I: Behavioral Game Theory),優勢可解賽局(1),exam,78,62,0.79
9,shiyan-jingji-xue,實驗經濟學 (Experimental Economics I: Behavioral Game Theory),優勢可解賽局(2),exam,71,57,0.80
9,shiyan-jingji-xue,實驗經濟學 (Experimental Economics I: Behavioral Game Theory),捉迷藏賽局,exam,77,53,0.69
9,shiyan-jingji-xue,實驗經濟學 (Experimental Economics I: Behavioral Game Theory),選美結果預測賽局,exam,66,53,0.80
9,shiyan-jingji-xue,實驗經濟學 (Experimental Economics I: Behavioral Game Theory),Strategic IQ Games: DSG,exam,63,34,0.54
9,shiyan-jingji-xue,實驗經濟學 (Experimental Economics I: Behavioral Game Theory),Strategic IQ Games: Sequential BC,exam,45,32,0.71
9,shiyan-jingji-xue,實驗經濟學 (Experimental Economics I: Behavioral Game Theory),Strategic IQ Games: Simultaneous BC,exam,49,34,0.69
9,shiyan-jingji-xue,實驗經濟學 (Experimental Economics I: Behavioral Game Theory),論文書面 / 影片報告,phased peer,22,12,0.55
10,shaonian-fuli,少年福利與權利 (Welfare and Rights of Youth),Quiz 1,exam,410,165,0.40
10,shaonian-fuli,少年福利與權利 (Welfare and Rights of Youth),Week 2：Peer-Graded Assignment,phased peer,64,27,0.42
10,shaonian-fuli,少年福利與權利 (Welfare and Rights of Youth),Quiz 3,exam,119,55,0.46
10,shaonian-fuli,少年福利與權利 (Welfare and Rights of Youth),Week 4：Peer-Graded Assignment,phased peer,27,12,0.44
10,shaonian-fuli,少年福利與權利 (Welfare and Rights of Youth),Quiz 5,exam,67,34,0.51
10,shaonian-fuli,少年福利與權利 (Welfare and Rights of Youth),Week 6：Peer-Graded Assignment,phased peer,14,10,0.71
11,wuli,普通物理學 - 電磁學、光學及近代物理,第一週作業1 (互評作業),phased peer,79,13,0.16
11,wuli,普通物理學 - 電磁學、光學及近代物理,第一週作業2 (互評作業),phased peer,36,7,0.19
11,wuli,普通物理學 - 電磁學、光學及近代物理,第一週作業3,exam,122,12,0.10
11,wuli,普通物理學 - 電磁學、光學及近代物理,第一週作業4 (互評作業),phased peer,19,3,0.16
11,wuli,普通物理學 - 電磁學、光學及近代物理,第二週作業1,exam,40,1,0.03
11,wuli,普通物理學 - 電磁學、光學及近代物理,第二週作業2 (互評作業),phased peer,8,0,0.00
11,wuli,普通物理學 - 電磁學、光學及近代物理,第二週作業3 (互評作業),phased peer,2,0,0.00
11,wuli,普通物理學 - 電磁學、光學及近代物理,第三週作業1 (互評作業),phased peer,2,0,0.00
11,wuli,普通物理學 - 電磁學、光學及近代物理,第三週作業2 (互評作業),phased peer,1,0,0.00
11,wuli,普通物理學 - 電磁學、光學及近代物理,第三週作業3 (互評作業),phased peer,0,0,None
11,wuli,普通物理學 - 電磁學、光學及近代物理,第三週作業4 (互評作業),phased peer,0,0,None
11,wuli,普通物理學 - 電磁學、光學及近代物理,期末報告提案 (互評作業),phased peer,0,0,None
11,wuli,普通物理學 - 電磁學、光學及近代物理,第四週作業1 (互評作業),phased peer,1,0,0.00
11,wuli,普通物理學 - 電磁學、光學及近代物理,第四週作業2,exam,11,3,0.27
11,wuli,普通物理學 - 電磁學、光學及近代物理,第四週作業3 (互評作業),phased peer,0,0,None
11,wuli,普通物理學 - 電磁學、光學及近代物理,第五週作業1 (互評作業),phased peer,0,0,None
11,wuli,普通物理學 - 電磁學、光學及近代物理,第五週作業2 (互評作業),phased peer,0,0,None
11,wuli,普通物理學 - 電磁學、光學及近代物理,第五週作業3 (互評作業),phased peer,1,0,0.00
